;;QFY;Q1FY26;Q2FY26;Q3FY26;Q4FY25;Q4FY26;Grand Total
SELL IN DE QUAL DISTRIBUIDOR (A)?2;NAM;CLIENTE;Sell In GPOS BRL (Sum);;;;;
;;B2B;0;0;0;0;0;0
;LEONARDO Total;;0;0;0;0;0;0
- Total;;;0;0;0;0;0;0
;;LEITURA COMERCIAL;0;0;0;0;0;0
;ANA PAULA Total;;0;0;0;0;0;0
;;CASA DO PAPEL;0;0;0;0;0;0
;;GAME MANIA;0;0;0;0;0;0
;;HAVAN;0;0;0;0;0;0
;;ITX GAMER;0;0;0;0;0;0
;;LA INFO;0;0;0;0;0;0
;;NOMADE;0;0;0;0;0;0
;;ONLINE INFO;0;0;0;0;0;0
;;PRIMETEK;0;0;0;0;0;0
;;SYMA SOLUTIONS;0;0;0;0;0;0
;LUCIA Total;;0;0;0;0;0;0
;;BEMOL;0;0;0;0;;0
;;IBYTE;0;0;0;0;0;0
;;KADRI;0;0;0;0;0;0
;;LOGIN INF. COM.;0;0;0;0;0;0
;;MIRANDA;0;0;0;0;0;0
;;PAPEL E CIA;0;0;0;0;0;0
;LUCIANA Total;;0;0;0;0;0;0
;;INPOWER;0;0;0;0;0;0
;;MERCADO LIVRE;0;0;0;0;0;0
;;TNTINFO;0;0;0;0;0;0
;MAURICIO Total;;0;0;0;0;0;0
;;AGIS;0;0;0;0;0;0
;;GIBSON;0;0;0;0;0;0
;THAIS Total;;0;0;0;0;0;0
AGIS Total;;;0;0;0;0;0;0
;;APPLE;0;0;0;0;0;0
;LUCIA Total;;0;0;0;0;0;0
ALFACOMEX Total;;;0;0;0;0;0;0
;;CARREFOUR;0;0;0;0;0;0
;;SAM´S CLUB;0;0;0;0;0;0
;;TIM;0;0;0;0;0;0
;ANA PAULA Total;;0;0;0;0;0;0
;;ALLIED;0;0;0;0;0;0
;THAIS Total;;0;0;0;0;0;0
ALLIED Total;;;0;0;0;0;0;0
;;AMAZON - LOJA;0;0;0;0;0;0
;RAFAEL Total;;0;0;0;0;0;0
AMAZON - LOJA Total;;;0;0;0;0;0;0
;;COLEÇÃO;0;0;0;0;0;0
;THAIS Total;;0;0;0;0;0;0
COLEÇÃO Total;;;0;0;0;0;0;0
;;FAST SHOP - LOJA;0;0;0;0;0;0
;LUCIA Total;;0;0;0;0;0;0
FAST SHOP - LOJA Total;;;0;0;0;0;0;0
;;FUJIOKA;0;0;0;0;0;0
;;FUJIOKA - LOJA;0;0;0;0;0;0
;LUCIA Total;;0;0;0;0;0;0
;;INFOSTORE;0;0;0;0;0;0
;LUCIANA Total;;0;0;0;0;0;0
FUJIOKA Total;;;0;0;0;0;0;0
GOLDEN;ANA PAULA;LIVRARIAS CURITIBA; R$ 	439.533 ; R$ 	399.202 ; R$ 	390.917 ; R$ 	1.120.668 ; R$ 	428.527 ; R$ 	2.778.847 
;ANA PAULA Total;; R$ 	439.533 ; R$ 	399.202 ; R$ 	390.917 ; R$ 	1.120.668 ; R$ 	428.527 ; R$ 	2.778.847 
;CATIA;ESPACIAL; R$ 	398.431 ; R$ 	393.474 ; R$ 	393.474 ; R$ 	388.516 ; R$ 	393.474 ; R$ 	1.967.368 
;;GIMBA; R$ 	1.242.122 ; R$ 	1.191.113 ; R$ 	1.245.700 ; R$ 	1.133.892 ; R$ 	1.150.168 ; R$ 	5.962.995 
;;INFORSHOP; R$ 	158.338 ; R$ 	157.866 ; R$ 	157.866 ; R$ 	157.394 ; R$ 	157.866 ; R$ 	789.330 
;;LEPOK; R$ 	568.513 ; R$ 	565.448 ; R$ 	565.448 ; R$ 	562.383 ; R$ 	565.448 ; R$ 	2.827.239 
;;SIXPEL; R$ 	104.823 ; R$ 	104.078 ; R$ 	104.078 ; R$ 	103.333 ; R$ 	150.110 ; R$ 	566.421 
;;STAPLES / OCEANO B2B; R$ 	1.005.966 ; R$ 	999.481 ; R$ 	999.481 ; R$ 	992.995 ; R$ 	999.481 ; R$ 	4.997.403 
;CATIA Total;; R$ 	3.478.193 ; R$ 	3.411.458 ; R$ 	3.466.046 ; R$ 	3.338.513 ; R$ 	3.416.547 ; R$ 	17.110.756 
;LUCIA;CIENCIA MODERNA; R$ 	593.275 ; R$ 	451.071 ; R$ 	451.071 ; R$ 	451.071 ; R$ 	451.071 ; R$ 	2.397.558 
;LUCIA Total;; R$ 	593.275 ; R$ 	451.071 ; R$ 	451.071 ; R$ 	451.071 ; R$ 	451.071 ; R$ 	2.397.558 
;THAIS;GOLDEN; R$ 	1.951.448 ; R$ 	1.781.661 ; R$ 	1.547.264 ; R$ 	2.422.330 ; R$ 	894.987 ; R$ 	8.597.690 
;THAIS Total;; R$ 	1.951.448 ; R$ 	1.781.661 ; R$ 	1.547.264 ; R$ 	2.422.330 ; R$ 	894.987 ; R$ 	8.597.690 
GOLDEN Total;;; R$ 	6.462.448 ; R$ 	6.043.392 ; R$ 	5.855.297 ; R$ 	7.332.582 ; R$ 	5.191.132 ; R$ 	30.884.852 
;;MAGAZINE LUIZA;;;;0;;0
;ANA PAULA Total;;;;;0;;0
;;BRAILE;0;0;0;0;0;0
;;FAGUNDEZ;0;0;0;0;0;0
;;GAZIN;0;0;0;0;0;0
;;GMI;0;0;0;0;0;0
;;INGRAM;0;0;0;0;0;0
;;MACRO;0;0;0;0;0;0
;THAIS Total;;0;0;0;0;0;0
INGRAM Total;;;0;0;0;0;0;0
;;IPLACE - LOJA;0;0;0;0;0;0
;LUCIA Total;;0;0;0;0;0;0
IPLACE - LOJA Total;;;0;0;0;0;0;0
;;KABUM - LOJA;0;0;0;0;0;0
;MAURICIO Total;;0;0;0;0;0;0
KABUM - LOJA Total;;;0;0;0;0;0;0
;;PICHAU;0;0;0;0;0;0
;MAURICIO Total;;0;0;0;0;0;0
;;MAZER;0;0;0;0;0;0
;THAIS Total;;0;0;0;0;0;0
MAZER Total;;;0;0;0;0;0;0
;;NAGEM;0;0;0;0;0;0
;;NAGEM - LOJA;0;0;0;0;0;0
;LUCIANA Total;;0;0;0;0;0;0
NAGEM Total;;;0;0;0;0;0;0
;;LOGITECH STORE;0;0;0;0;0;0
;ALBERTO Total;;0;0;0;0;0;0
;;CONTABILISTA;0;0;0;0;0;0
;CATIA Total;;0;0;0;0;0;0
;;PAUTA;0;0;0;0;0;0
;THAIS Total;;0;0;0;0;0;0
PAUTA Total;;;0;0;0;0;0;0
;;MASTER 10;0;0;0;0;0;0
;LUCIA Total;;0;0;0;0;0;0
;;SND;0;0;0;0;0;0
;THAIS Total;;0;0;0;0;0;0
SND Total;;;0;0;0;0;0;0
;;KALUNGA - LOJA;0;0;0;0;0;0
;ANA PAULA Total;;0;0;0;0;0;0
;;PROGAMING;0;0;0;0;0;0
;LUCIA Total;;0;0;0;0;0;0
;;SOFTRONIC;0;0;0;0;0;0
;THAIS Total;;0;0;0;0;0;0
SOFTRONIC Total;;;0;0;0;0;0;0
;;SMB;0;0;0;0;0;0
;CATIA Total;;0;0;0;0;0;0
UNENTEL Total;;;0;0;0;0;0;0
Grand Total;;; R$ 	6.462.448 ; R$ 	6.043.392 ; R$ 	5.855.297 ; R$ 	7.332.582 ; R$ 	5.191.132 ; R$ 	30.884.852 